belongs_to_collection,budget,genres,id,original_language,overview,popularity,release_date,revenue,title,vote_average,vote_count,return,release_year,Actors,Directores
standar,45000000.0,Action Adventure Crime Thriller,1537.0,en,"A rush-hour fender-bender on New York City's crowded FDR Drive, under most circumstances, wouldn't set off a chain reaction that could decimate two people's lives. But on this day, at this time, a minor collision will turn two complete strangers into vicious adversaries. Their means of destroying each other might be different, but their goals, ultimately, will be the same: Each will systematically try to dismantle the other's life in a reckless effort to reclaim something he has lost.",7.81862,2002-04-07,94935764.0,Changing Lanes,5.9,306.0,2.1096836444444445,2002,"Ben Affleck, Samuel L. Jackson, Kim Staunton, Toni Collette, Sydney Pollack, Matt Malloy, William Hurt, John Benjamin Hickey, Amanda Peet, Michael Pitt, Myra Lucretia Taylor",Roger Michell
standar,56000000.0,Action Comedy Drama Family Thriller,10022.0,en,Disgraced Navy SEAL Shane Wolfe is handed a new assignment: Protect the five Plummer kids from enemies of their recently deceased father -- a government scientist whose top-secret experiment remains hidden in the kids' house.,7.81645,2005-03-04,113006880.0,The Pacifier,5.8,865.0,2.01798,2005,"Vin Diesel, Lauren Graham, Faith Ford, Chris Potter, Brittany Snow, Morgan York, Max Thieriot, Brad Garrett, Carol Kane, Tate Donovan, Scott Thompson, Denis Akiyama, Mung-Ling Tsui, Anne Fletcher, Allison Lynn, Gabriel Antonacci, Mary Pitt, Dan Sutcliffe, Vanessa Cobham, Jordan Allison, Rachael Dolan, Charlotte Szivak, Toya Alexis, Valerie Boyle, Karla Jang, Silver Kim, Robert Yeretch, Scott Hurst, Christie Allaire, Stephanie Allaire, Amy Allicock, Helena Chow, Joella Crichton, Laura Jeanes, Rebecca Priestley, Taryn Ash, Catherine Burdon, Shane Cardwell, Tommy Chang, Alexander Conti, David Lipper, Tig Fong, Maria Georgas, Nikki Shah, Jordan Todosey, Emi Yaguchi-Chow, Demetrius Joyette, Christopher Lortie, Sotiri Georgas, Steven Georgas, Gannon Racki, Seth Howard, Marcus Hutchings, David Sparrow, Evelyn Kaye, Christian Laurin, John MacDonald, Billy Oliver, Curtis Parker, Matt Purdy, Jean Pearson, Kyle Schmid, Robert Thomas, Michael Quintero, Cameron Hickox, Cade Courtley, Cassius Willis, Jeff Podgurski, F. Valentino Morales, Hank Amos, Charles Haugk, Scott Reiff, Darryl Dinn, Christopher Giroux, Liam McGuckian, Adam Shankman",Adam Shankman
standar,14000000.0,Drama,10423.0,en,"This film is a glimpse into the life, love and the unconquerable spirit of the legendary Bruce Lee. From a childhod of rigorous martial arts training, Lee realizes his dream of opening his own kung-fu school in America. Before long, he is discovered by a Hollywood producer and begins a meteroric rise to fame and an all too short reign as one the most charasmatic action heroes in cinema history.",5.079464,1993-05-07,63513743.0,Dragon: The Bruce Lee Story,6.8,156.0,4.536695928571429,1993,"Jason Scott Lee, Lauren Holly, Robert Wagner, Michael Learned, Nancy Kwan, Lim Kay Tong, Ric Young, Luoyong Wang, Sterling Macer Jr, Sven-Ole Thorsen, Ong Soo Han, Eric Bruskotter, Aki Aleong, Chao Li Chi, Sam Hau, Iain M. Parker, Michelle Tennant, Clyde Kusatsu, Alicia Tao, Kong Kwong-Keung, John Cheung, Anthony Carpio, Chan Tat-Kwong, John Lacy, Harry Stanback, Michael Cudlitz, Forry Smith, Sean Stanek, Van Williams, Alan Eugster, Paul Raci, Ed Parker Jr., Shannon Lee, Robert Garrett, Lala Sloatman, Fu Suk Han, Nick Brandon, Louis Turenne, Paul Mantee, Jonathan Penner, Jan Solomita, Shannon Uno, Rob Cohen, Pamela Holt, Mark King, Johnny Mask",Rob Cohen
standar,130000000.0,Drama Action Adventure History War,1495.0,en,"After his wife dies, a blacksmith named Balian is thrust into royalty, political intrigue and bloody holy wars during the Crusades.",16.296471,2005-05-03,211643158.0,Kingdom of Heaven,6.6,1187.0,1.6280242923076924,2005,"Orlando Bloom, Eva Green, Jeremy Irons, Marton Csokas, Brendan Gleeson, Liam Neeson, Edward Norton, Michael Sheen, Ghassan Massoud, Velibor Topic, Alexander Siddig, Khaled Nabawy, Kevin McKidd, David Thewlis, Martin Hancock, Nathalie Cox, Giannina Facio, Michael Shaeffer, Ulrich Thomsen, Angus Wright",Ridley Scott
standar,5000000.0,Comedy,144789.0,es,"The film is an ensemble comedy written and directed by Pedro Almodóvar. When it appears as though the end is in sight, the pilots, flight crew, and passengers of a plane heading to Mexico City look to forget the anguish of the moment and face the greatest danger, which we carry within ourselves.",6.757549,2013-03-08,11724119.0,I'm So Excited!,5.8,219.0,2.3448238,2013,"Antonio Banderas, Penélope Cruz, Javier Cámara, Carlos Areces, Raúl Arévalo, Paz Vega, Antonio de la Torre, Lola Dueñas, Hugo Silva, Blanca Suárez, Cecilia Roth, Miguel Ángel Silvestre, Laya Martí, José María Yazpik, Guillermo Toledo, Agustín Almodóvar, Bárbara Santa-Cruz, Coté Soler, Pepa Charro, Nasser Saleh, Concha Galán, José Luis Torrijo, Susi Sánchez, Carmen Machi, Violeta Pérez, María Morales",Pedro Almodóvar
standar,325000.0,Comedy Romance,3078.0,en,"Ellie Andrews has just tied the knot with society aviator King Westley when she is whisked away to her father's yacht and out of King's clutches. Ellie jumps ship and eventually winds up on a bus headed back to her husband. Reluctantly she must accept the help of out-of- work reporter Peter Warne. Actually, Warne doesn't give her any choice: either she sticks with him until he gets her back to her husband, or he'll blow the whistle on Ellie to her father. Either way, Peter gets what he wants... a really juicy newspaper story!",6.465257,1934-02-22,4500000.0,It Happened One Night,7.7,283.0,13.846153846153847,1934,"Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns, Jameson Thomas, Alan Hale, Arthur Hoyt, Blanche Friderici, Charles C. Wilson, Ward Bond, Irving Bacon, James Burke, Joseph Crehan, Mickey Daniels, Milton Kibbee, Bess Flowers, Ray Cooke",Frank Capra
standar,11000000.0,Crime Drama Horror Thriller,101669.0,en,Crazed members of a sadistic family return to their childhood home to terrorize the new owners.,5.165083,2010-09-23,0.0,Mother's Day,6.3,126.0,0.0,2010,"Rebecca De Mornay, Jaime King, Patrick John Flueger, Deborah Ann Woll, Frank Grillo, Shawn Ashmore, Briana Evigan, Alexa PenaVega, A.J. Cook, Matt O'Leary, Warren Kole, Lyriq Bent, Lisa Marcos, Tony Nappo, Kandyse McClure, Jessie Rusu, Jason Wishnowski",Darren Lynn Bousman
Anchorman Collection,50000000.0,Comedy,109443.0,en,"With the 70s behind him, San Diego's top rated newsman, Ron Burgundy, returns to take New York's first 24-hour news channel by storm.",7.600751,2013-12-18,173649015.0,Anchorman 2: The Legend Continues,6.0,940.0,3.4729803,2013,"Will Ferrell, Steve Carell, Paul Rudd, Christina Applegate, David Koechner, James Marsden, Kristen Wiig, Meagan Good, Dylan Baker, Tina Fey, Kirsten Dunst, Liam Neeson, Vince Vaughn, Marion Cotillard, Harrison Ford, Will Smith, Sacha Baron Cohen, Jim Carrey, Amy Poehler, Kanye West, Fred Willard, John C. Reilly, June Diane Raphael, Matthew Cornwell, Bill Kurtis, Sarah E. Spencer, Brian Patrick Butler",Adam McKay
Cinderella Story Collection,0.0,Comedy Family Romance,74018.0,en,"In this modern telling of the classic tale, aspiring singer Katie Gibbs falls for the new boy at her performing arts high school. But Katie's wicked stepmother and stepsister are scheming to crush her dream before she can sing her way into his heart.",5.899663,2011-09-05,0.0,A Cinderella Story: Once Upon a Song,6.1,282.0,0.0,2011,"Lucy Hale, Missi Pyle, Megan Park, Freddie Stroma, Titus Makin Jr., Jessalyn Wanlim, Matthew Lintz",Damon Santostefano
standar,28000000.0,Romance Horror Comedy Thriller,58431.0,en,"A zombie outbreak has fallen upon the land in this reimagining of Jane Austen’s classic tale of the tangled relationships between lovers from different social classes in 19th century England. Feisty heroine Elizabeth Bennet (Lily James) is a master of martial arts and weaponry and the handsome Mr. Darcy (Sam Riley) is a fierce zombie killer, yet the epitome of upper class prejudice. As the zombie outbreak intensifies, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all.",7.954623,2016-02-04,16374328.0,Pride and Prejudice and Zombies,5.5,662.0,0.5847974285714286,2016,"Lily James, Sam Riley, Jack Huston, Bella Heathcote, Douglas Booth, Matt Smith, Suki Waterhouse, Charles Dance, Lena Headey, Emma Greenwell, Aisling Loftus, Hermione Corfield, Sally Phillips, Dolly Wells, Ellie Bamber, Ryan Oliva, Millie Brady, Jess Radomska, Judit Novotnik, Pooky Quesnel, Morfydd Clark, Janet Henfrey",Burr Steers
The Lawnmower Man Collection,10000000.0,Horror Thriller Science Fiction,10163.0,en,A simple man is turned into a genius through the application of computer science.,6.685948,1992-03-05,32101000.0,The Lawnmower Man,5.4,198.0,3.2101,1992,"Jeff Fahey, Pierce Brosnan, Jenny Wright, Mark Bringelson, Geoffrey Lewis, Jeremy Slate, Dean Norris, Colleen Coffey, Troy Evans, Austin O'Brien, John Laughlin",Brett Leonard
standar,58000000.0,Comedy Fantasy Romance,9007.0,en,"Shortly after David Abbott moves into his new San Francisco digs, he has an unwelcome visitor on his hands: winsome Elizabeth Martinson, who asserts that the apartment is hers -- and promptly vanishes. When she starts appearing and disappearing at will, David thinks she's a ghost, while Elizabeth is convinced she's alive.",8.351773,2005-09-16,102854431.0,Just Like Heaven,6.5,595.0,1.7733522586206896,2005,"Reese Witherspoon, Mark Ruffalo, Donal Logue, Dina Spybey-Waters, Ben Shenkman, Jon Heder, Ivana Miličević, Caroline Aaron, Rosalind Chao, Ron Canada, Willie Garson, Gabrielle Made, William Caploe, Shulie Cowen, Kara Hamilton, Jimmy Ortega, Billy Beck, Cristian Cruz, Catherine Taber, Kerris Dorsey, Alyssa Shafer, Nicole Wilder, Doug Krizner, Jacob Chambers, Karen Harrison, Diego Sebastian, Benjamin Hughes, Chris Pflueger, Paul Cassell, Drew Letchworth, Raymond O'Connor, Lucille Soong, Joel McKinnon Miller, Victor Yerrid, Lorna Scott, Jeffrey Marcus, Ken Takemoto, Chaim Girafi, Zoe Waters, Ingrid Coree, Lee Burns, Amita Balla",Mark Waters
Rio Collection,90000000.0,Animation Adventure Comedy Family,46195.0,en,"Captured by smugglers when he was just a hatchling, a macaw named Blu never learned to fly and lives a happily domesticated life in Minnesota with his human friend, Linda. Blu is thought to be the last of his kind, but when word comes that Jewel, a lone female, lives in Rio de Janeiro, Blu and Linda go to meet her. Animal smugglers kidnap Blu and Jewel, but the pair soon escape and begin a perilous adventure back to freedom -- and Linda.",10.403228,2011-04-03,484635760.0,Rio,6.5,2213.0,5.384841777777778,2011,"Jesse Eisenberg, Anne Hathaway, Leslie Mann, Jane Lynch, Will.i.am, Wanda Sykes, George Lopez, Jamie Foxx, Rodrigo Santoro, Jemaine Clement, Jake T. Austin, Tracy Morgan, Carlos Ponce",Carlos Saldanha
standar,90000000.0,Adventure Fantasy Action Thriller Science Fiction,18.0,en,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",24.30526,1997-05-07,263920180.0,The Fifth Element,7.3,3962.0,2.9324464444444445,1997,"Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich, Chris Tucker, Luke Perry, Brion James, Tom Lister Jr., Lee Evans, Charlie Creed-Miles, Tricky, John Neville, John Bluthal, Mathieu Kassovitz, Christopher Fairbank, Kim Chan, Julie T. Wallace, Al Matthews, Maïwenn, Mac McDonald, Indra Ové, Genevieve Maylam, Jason Salkey, Michael Culkin, Hon Ping Tang, Vincenzo Pellegrino, Richard Leaf, Ivan Heng, Sonita Henry, Tim McMullan, George Khan, John Hughes, Roberto Bryce, Said Talidi, Clifton Lloyd Bryan, Justin Lee Burrows, Richard Ashton, Jerome St. John Blake, Kevin Molloy, Bill Reimbold, Colin Brooks, Anthony Chinn, Sam Douglas, Derek Ezenagu, David Kennedy, David Barrass, Roger Monk, Mark Seaton, Jean-Luc Caron, Riz Meedin, Jerry Ezekiel, Rachel Willis, Natasha Brice, Sophia Goth, Martin McDougall, Pete Dunwell, Paul Priestley, Stewart Harvey-Wilson, David Fishley, Carlton Chance, Gin Clarke, Vladimir McCrary, Aron Paramor, Alan Ruscoe, Christopher Adamson, Ève Salvail, Kaleem Janjua, Tyrone Tyrell, Kevin Brewerton, Ian Beckett, Sonny Caldinez, Zeta Graff, Eddie Ellwood, Yui, Laura De Palma, Lenny McLean, Robert Oates, John Sharian, Fred Williams, Sibyl Buck, Sarah Carrington, Ali Yassine, Sean Buckley, Dane Messam, Nathan Hamlett, Cecil Cheng, Scott Woods, Leon Dekker, David Garvey, Stanley Kowalski, Omar Williams, Robert Clapperton, Robert Alexander, Mia Frye, Leo Williams, C. Keith Martin, J.D. Dawodu, Patrick Nicholls, Shaun Davis, Roy Garcia, Alex Georgijev, Marie Guillard, Renee Montemayor, Stina Richardson, Kristen Fick, François Guillaume, Anita Koh, Kamay Lau, Tracy Redington, Gito Santana, Frank Senger, Joss Skottowe, Roger Wright, John Bennett",Luc Besson
standar,0.0,Drama Romance,87825.0,en,"Slowed by age and failing eyesight, crack baseball scout Gus Lobel takes his grown daughter along as he checks out the final prospect of his career. Along the way, the two renew their bond, and she catches the eye of a young player-turned-scout.",6.032041,2012-09-21,0.0,Trouble with the Curve,6.6,379.0,0.0,2012,"Clint Eastwood, Amy Adams, Justin Timberlake, John Goodman, Matthew Lillard, Joe Massingill, Robert Patrick, Ed Lauter, Chelcie Ross, Peter Hermann, Matt Bush, Scott Eastwood, Jay Galloway, Bob Gunton, Jack Gilpin, George Wyner, James Patrick Freetly, Norma Alvarez, Rus Blackwell, Raymond Anthony Thomas, Josh Warren, Seth Meriwether, Bart Hansard, Patricia French, Tom Nowicki, Julia Walters, Tyler Silva, Darren Le Gallo, Clayton Landey, Matthew Brady, Jackie Prucha, Ricky Muse, Tom Dreesen, Carla Fisher, Kenny Alfonso, Sammy Blue, Brian F. Durkin, Nathan Wright, Ryan Patrick Williams, Xavier Floyd, Bud Selig, Cara Mantella, Polly Mitchell Giles, Lauren Henneberg, Jennifer Baskette-Ridings, Karen Ceesay",Robert Lorenz
standar,9000000.0,Science Fiction,8069.0,en,"In the far future, a highly sexual woman is tasked with finding and stopping the evil Durand-Durand. Along the way she encounters various unusual people.",14.304205,1968-10-10,2500000.0,Barbarella,5.7,149.0,0.2777777777777778,1968,"Jane Fonda, John Phillip Law, Anita Pallenberg, Marcel Marceau, Claude Dauphin, Milo O'Shea, Véronique Vendell, Serge Marquand, Catherine Chevallier, Marie Therese Chevallier, David Hemmings, Ugo Tognazzi, Giancarlo Cobelli, Fabienne Fabre, Corinne Fontaine, Nino Musco, Umberto Di Grazia, Franco Gulà, Jean Saudray, Romolo Valli, Robert Rietty, Kitty Swan, Fabio Testi, Talitha Pol, Antonio Sabàto, Honey Autumn, Diane Bond, Silvana Venturelli, Carla Cassola, Joan Greenwood, María Teresa Orsini",Roger Vadim
standar,0.0,Horror Science Fiction Thriller,301728.0,en,"A search and rescue team are transported through deep space to a distant mining colony to save the sole survivor of a biological outbreak.  During their mission, they find a lethal weapon which is set to arrive on Earth within the hour.",12.592801,2015-05-08,0.0,Infini,5.1,157.0,0.0,2015,"Daniel MacPherson, Grace Huang, Luke Hemsworth, Bren Foster, Luke Ford, Dwaine Stevenson, Louisa Mignone, Tess Haubrich, Harry Pavlidis, Kevin Copeland, Andy Rodoreda, Paul Winchester, Brendan Clearkin, Matt Minto, Dean Kyrwood, Goran D. Kleut, Denai Gracie, Aileen Beale, Matt Rudduck, Laura Beverley, Emily J. Stewart, Kathy Luu, Belinda Gosbee, Kate Ryerson, Katrina Papadopoulos, Louise Dodge, Gemma Laurelle, Michele-Antonio Mattiuzzi, Eric Gable, Richard Huggett",Shane Abbess
Resident Evil Collection,45000000.0,Horror Action Science Fiction,1577.0,en,"As the city is locked down under quarantine, Alice joins a small band of elite soldiers, enlisted to rescue the missing daughter of the creator of the mutating T-virus. It's a heart-pounding race against time as the group faces off against hordes of blood- thirsty zombies, stealthy Lickers, mutant canines and the most sinister foe yet.",7.850797,2004-09-10,129394835.0,Resident Evil: Apocalypse,6.1,1286.0,2.875440777777778,2004,"Milla Jovovich, Sienna Guillory, Oded Fehr, Thomas Kretschmann, Sophie Vavasseur, Razaaq Adoti, Jared Harris, Mike Epps, Sandrine Holt, Matthew G. Taylor, Zack Ward, Iain Glen, Dave Nichols, Stefan Hayes, Geoffrey Pounsett, Shaun Austin-Olsen, Geny Walters, Megan Fahlenbock, Robert Morelli, Aaron Abrams, Chris Benson, Martin Martinuzzi, Brad Borbridge, Frank Chiesurin, Ron Benjamin, Kevin Hare, Heather Dick, Alex Courey, John Detoro, Billy Khoury, Sava Drayton, Nicole Ann St. Hill, Ricardo Betancourt, Ted Ludzik, Michelle Latimer, Catherine Burdon, Rebecca Sims, Christopher Weedon, Billy Parrott, Derek Aasland, Richard Harte, Simon Girard, Dean Copkov, Jeff White, Tim Burd, Natalie Charles, Pierre Henry, Jim Codrington, Deborah Valente, Malcolm Fiddick, Malcolm Xerxes, Michy Gustavia, Shane Mackinnon, Ed Fielding, Stephen R. Hart, Sandi Stahlbrand, Christopher Marren, Tom Gerhardt, Amber Marshall, Venice Grant, Ana Danilina, Ingrid Johansson, Jeffrey Weedon, Melanie Tonello, Annabel Chu, Joey Jefferson, Heather Braaten, Joey Beck, Eric Morgan, Gene Pyrz, Torquil Colbo, Joan Moore, Peter C. Wylde, Garry Geddes, Dionne Renee, Janessa Crimi, Dan Ellery, Sharon Moore, Jo Chim, Bobby Prochaska, Jazz Mann, Larissa Gomes, Gregory White, Roman Podhora, Brian King, Rob Hall, Eric Mabius",Alexander Witt
standar,207000000.0,Adventure Drama Action,254.0,en,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",19.761164,2005-12-14,550000000.0,King Kong,6.6,2403.0,2.657004830917874,2005,"Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann, Colin Hanks, Andy Serkis, Evan Parke, Jamie Bell, Lobo Chan, John Sumner, Craig Hall, Kyle Chandler, William Johnson, David Pittu, Mark Hadlow, Geraldine Brophy, David Dennis, Pip Mushin, Jim Knobeloch, Ric Herbert, Lee Donahue, Tom Hobbs, Tiriel Mora, Jed Brophy, John Wraight, William Wallace, Frank Edwards, Crawford Thomson, Richard Kavanagh, Stephen Hall, Joe Folau, Chic Littlewood, Samuel Taylor, Philip Ettington",Peter Jackson
standar,9000000.0,Horror Thriller,10069.0,en,"After the mysterious, brutal death of an old friend, a group of teenagers find themselves in possession of ""Stay Alive,"" an ultra-realistic 3-D videogame based on the spine-chilling true story of a 17th century noblewoman, known as ""The Blood Countess."" The gamers don't know anything about the game other than they're not supposed to have it... and they're dying to play it. Not able to resist temptation, the kids begin to play the grisly game but soon make a chilling connection -- they are each being murdered one-by-one in the same way as the characters they played in the game. As the line between the game world and the real world disappears, the teens must find a way to defeat the vicious and merciless Blood Countess, all the while trying to... stay alive.",4.854551,2006-03-24,27105095.0,Stay Alive,5.3,157.0,3.011677222222222,2006,"Jon Foster, Samaire Armstrong, Frankie Muniz, Jimmi Simpson, Wendell Pierce, Milo Ventimiglia, Sophia Bush, Adam Goldberg, Billy Slaughter, Nicole Oppermann, April Wood, Rio Hackford, Billy Louviere, Monica Monica, Maria Kalinina, Rick Green, J. Richey Nash, Lauren Lorbeck, Veronica Mosgrove, James Haven",William Brent Bell
standar,12000000.0,Drama Romance,15764.0,en,"Meryl Streep stars as Sophie, a Polish immigrant who shares a boarding house in Brooklyn with her tempestuous lover, Nathan (Kevin Kline in his feature film debut), and a young writer, Stingo (Peter MacNicol).",15.417202,1982-12-08,30036000.0,Sophie's Choice,7.4,149.0,2.503,1982,"Meryl Streep, Kevin Kline, Peter MacNicol, Rita Karin, Stephen D. Newman, Greta Turken, Josh Mostel, Marcell Rosenblatt, Moishe Rosenfeld, Robin Bartlett, Eugene Lipinski, John Rothman, Joseph Leon, David Wohl, Nina Polan",Alan J. Pakula
standar,15000000.0,Drama Comedy Romance,74643.0,en,"Hollywood, 1927: As silent movie star George Valentin wonders if the arrival of talking pictures will cause him to fade into oblivion, he sparks with Peppy Miller, a young dancer set for a big break.",11.440948,2011-05-15,133432856.0,The Artist,7.3,1075.0,8.895523733333333,2011,"Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell, Penelope Ann Miller, Malcolm McDowell, Missi Pyle, Beth Grant, Ed Lauter, Joel Murray, Ken Davitian, Bitsie Tulloch, Basil Hoffman, Bill Fagerbakke, Nina Siemaszko, Stephen Mendillo, Dash Pomerantz, Beau Nelson, Alex Holliday, Wiley M. Pickett, Ben Kurland, Katie Nisa, Katie Wallack, Hal Landon Jr., Sarah Karges, Sarah Scott, Ezra Buzzington, Stuart Pankin, Andy Milder, Bob Glouberman, David Allen Cluck, Annie O'Donnell, Patrick Mapel, Tim DeZarn, Matthew Albrecht, Harvey J. Alperin, Lily Knight, Clement Blake, Cleto Augusto, Matt Skollar, Adria Tennor, Tasso Feldman, Christopher Ashe, Cletus Young, J. Mark Donaldson, Brian J. Williams, Jen Lilley, Brian Chenoweth, Robert Amico, Bill Blair, Amanda Chism, Calvin Dean, Mohamed Dione, Jennifer Ingrum, Actor Sergio Kato, Kevin Ketcham, Carmen Kirby, Michael Laren, Sonya Macari, Josh Margulies, Rene Napoli, Frank Scozzari, Jewel Shepard, John H. Tobin, Josh Woodle, Vincent De Paul, Josephine Ganner, Jillana Laufer, Julie Minasian",Michel Hazanavicius
Anaconda Collection,20000000.0,Adventure Action Horror Science Fiction Thriller,11237.0,en,"The blood orchid - A rare flower that holds the secret of eternal life and a fortune to the pharmaceutical company that finds it. Led by a two-fisted soldier of fortune, a scientific expedition is sent deep into the jungles of Borneo to locate and bring back samples of the legendary plant. Battling their way upriver, the explorers brave poisonous insects, ferocious crocodiles and savage headhunters, unaware they're being stalked by an even greater danger: a nest of giant anacondas, voracious, fifty-foot-long flesh-eaters who'll stop at nothing to protect their breeding ground, the blood orchid's home.",10.749404,2004-08-26,70992898.0,Anacondas: The Hunt for the Blood Orchid,4.9,200.0,3.5496449,2004,"Johnny Messner, KaDee Strickland, Matthew Marsden, Nicholas Gonzalez, Eugene Byrd, Karl Yune, Salli Richardson-Whitfield, Моррис Честнат, Andy Anderson, Nicholas Hope, Peter Curtin, Denis Arndt",Dwight H. Little
Diary of a Wimpy Kid Collection,22000000.0,Comedy Family,82650.0,en,"School is out and Greg is ready for the days of summer, when all his plans go wrong. What on earth is he going to do all summer?",10.225555,2012-08-02,77112176.0,Diary of a Wimpy Kid: Dog Days,6.0,229.0,3.505098909090909,2012,"Zachary Gordon, Robert Capron, Devon Bostick, Rachael Harris, Steve Zahn, Peyton List, Laine MacNeil, Melissa Roxburgh, Connor Fielding, Owen Fielding, Karan Brar, Grayson Russell, Alf Humphreys, Bronwen Smith, Emily Holmes, Philip Maurice Hayes, Jeff Kinney, Elise Gatien, Dalila Bela",David Bowers
standar,18000000.0,Drama,1578.0,en,"When Jake LaMotta steps into a boxing ring and obliterates his opponent, he's a prizefighter. But when he treats his family and friends the same way, he's a ticking time bomb, ready to go off at any moment. Though LaMotta wants his family's love, something always seems to come between them. Perhaps it's his violent bouts of paranoia and jealousy. This kind of rage helped make him a champ, but in real life, he winds up in the ring alone.",8.868558,1980-11-14,23000000.0,Raging Bull,7.7,968.0,1.2777777777777777,1980,"Robert De Niro, Joe Pesci, Cathy Moriarty, Frank Vincent, Nicholas Colasanto, Theresa Saldana, Mario Gallo, John Turturro, Joseph Bono, Frank Adonis, Charles Scorsese, Rita Bennett, Bernie Allen, Gene LeBell, Victor Magnotta, Shay Duffin, Jack Lotz, Kevin Breslin, Coley Wallace, Fred Dennis, Harvey Parry, Michael Badalucco, Geraldine Smith, Mardik Martin, Peter Savage, Daniel P. Conte, Richard McMurray, Candy Moore, Wally K. Berns, Allen Joseph, Martin Scorsese, Vincent Barbi, Robert Dahdah, Vincent Di Paolo, Marty Farrell, Charles Guardino, R. Michael Givens, Chuck Hicks, Michael Charles Hill, Walt La Rue, Angelo Lamonea, Gil Perkins, Tony Lip, Dennis O'Neill, Jerry Schram, McKenzie Westmore, Jimmy Williams",Martin Scorsese
standar,50000000.0,Drama Comedy,18947.0,en,"The Boat that Rocked is an ensemble comedy, where the romance is between the young people of the 60s, and pop music. It's about a band of DJs that captivate Britain, playing the music that defines a generation and standing up to a government that  wanted control of popular culture via the British Broadcasting Corporation. Loosely based on the events in Britain in the 60's when the Labour government of Harold Wilson, wanted to bring the pirate stations under control, enough to see the passage of the Marine Broadcasting Offences Act on 15 August 1967",8.395618,2009-04-01,36348784.0,The Boat That Rocked,7.2,678.0,0.72697568,2009,"Tom Sturridge, Philip Seymour Hoffman, Rhys Ifans, Bill Nighy, Emma Thompson, Nick Frost, Kenneth Branagh, January Jones, Gemma Arterton, Jack Davenport, Rhys Darby, Chris O'Dowd, Katherine Parkinson, Katie Lyons, Tom Wisdom, Will Adamsdale, Tom Brooke, Ralph Brown, Ike Hamilton, Sinead Matthews, Talulah Riley, Michael Hadley, Charlie Rowe, Lucy Fleming, Ian Mercer, Francesca Longrigg, Poppy Delevingne, David Sterne, Olivia Llewellyn, William Ilkley",Richard Curtis
standar,0.0,Science Fiction Action,328595.0,en,An underground MMA fighter must confront his sister and his past in an adventure through parallel universes,4.081263,2015-03-01,0.0,Parallels,6.2,148.0,0.0,2015,"Mark Hapka, Jessica Rothe, Eric Jungmann, Constance Wu, Yorgo Constantine, Davi Jay, Michael Monks, Ian Casselberry, B.J. Grogan, Han Soto, Marco St. John, Luke Hawx, Kim Collins, Lindsey G. Smith",Christopher Leone
standar,60000000.0,Animation Family,14836.0,en,"When Coraline moves to an old house, she feels bored and neglected by her parents. She finds a hidden door with a bricked up passage. During the night, she crosses the passage and finds a parallel world where everybody has buttons instead of eyes, with caring parents and all her dreams coming true. When the Other Mother invites Coraline to stay in her world forever, the girl refuses and finds that the alternate reality where she is trapped is only a trick to lure her.",16.639915,2009-02-05,124596398.0,Coraline,7.3,1432.0,2.0766066333333333,2009,"Dakota Fanning, Teri Hatcher, Jennifer Saunders, Dawn French, Keith David, John Hodgman, Robert Bailey Jr., Ian McShane",Henry Selick
9½ Weeks Collection,17000000.0,Drama Romance,10068.0,en,"An erotic story about a woman, the assistant of an art gallery, who gets involved in an impersonal affair with a man. She barely knows about his life, only about the sex games they play, so the relationship begins to get complicated.",6.706262,1986-02-14,6735922.0,Nine 1/2 Weeks,5.8,183.0,0.39623070588235293,1986,"Mickey Rourke, Kim Basinger, Margaret Whitton, David Margulies, Christine Baranski, Karen Young, Dwight Weist, Roderick Cook, Victor Truro, Justine Johnston",Adrian Lyne
standar,150000000.0,Animation Family Adventure Comedy,13053.0,en,"Bolt is the star of the biggest show in Hollywood. The only problem is, he thinks it's real. After he's accidentally shipped to New York City and separated from Penny, his beloved co-star and owner, Bolt must harness all his ""super powers"" to find a way home.",15.580915,2008-11-21,309979994.0,Bolt,6.3,1798.0,2.0665332933333334,2008,"John Travolta, Miley Cyrus, Susie Essman, Mark Walton, Malcolm McDowell, James Lipton, Greg Germann, Diedrich Bader, Nick Swardson, J.P. Manoux, Dan Fogelman, Kari Wahlgren, Chloë Grace Moretz, Randy Savage, Ronn Moss, Grey Griffin","Chris Williams, Byron Howard"
